url,heading,release,last_edited,pub,publication,time_period,is_latest_release
https://explore-education-statistics.service.gov.uk/methodology/children-accommodated-in-secure-children-s-homes-methodology,Children accommodated in secure children's homes,Methodology,23-May-23,NA,Children accommodated in secure children's homes,,No
https://explore-education-statistics.service.gov.uk/methodology/characteristics-of-children-in-need-methodology,Children in need,Methodology,30-Oct-23,NA,Children in need,,No
https://explore-education-statistics.service.gov.uk/methodology/children-looked-after-in-england-including-adoptions,Children looked after in England including adoptions,Methodology,20-Dec-23,NA,Children looked after in England including adoptions,,No
https://explore-education-statistics.service.gov.uk/methodology/children-s-social-work-workforce-methodology,Children's social work workforce,Methodology,23-Feb-23,NA,Children's social work workforce,,No
https://explore-education-statistics.service.gov.uk/methodology/children-s-social-work-workforce-attrition-caseload-and-agency-workforce,"Children's social work workforce: attrition, caseload, and agency workforce",Methodology,24-May-22,NA,"Children's social work workforce: attrition, caseload, and agency workforce",,No
https://explore-education-statistics.service.gov.uk/methodology/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england-methodology,"Outcomes for children in need, including children looked after by local authorities in England",Methodology,29-Jun-23,NA,"Outcomes for children in need, including children looked after by local authorities in England",,No
https://explore-education-statistics.service.gov.uk/methodology/outcomes-of-children-in-need-including-looked-after-children-methodology,"Outcomes of children in need, including looked after children",Methodology,24-Sep-20,NA,"Outcomes of children in need, including looked after children",,No
https://explore-education-statistics.service.gov.uk/methodology/serious-incident-notifications-methodology,Serious incident notifications,Methodology,25-May-23,NA,Serious incident notifications,,No
https://explore-education-statistics.service.gov.uk/methodology/attendance-in-education-and-early-years-settings-during-the-coronavirus-covid-19-outbreak-methodology,Attendance in education and early years settings during the coronavirus (COVID-19) pandemic,Methodology,26-Jul-22,NA,Attendance in education and early years settings during the coronavirus (COVID-19) pandemic,,No
https://explore-education-statistics.service.gov.uk/methodology/co2-monitors-cumulative-delivery-statistics,CO2 monitors: cumulative delivery statistics,Methodology,04-Nov-21,NA,CO2 monitors: cumulative delivery statistics,,No
https://explore-education-statistics.service.gov.uk/methodology/coronavirus-covid-19-reporting-in-higher-education-providers-methodology,Coronavirus (COVID-19) Reporting in Higher Education Providers,Methodology,26-Apr-21,NA,Coronavirus (COVID-19) Reporting in Higher Education Providers,,No
https://explore-education-statistics.service.gov.uk/methodology/delivery-of-air-cleaning-units,Delivery of air cleaning units,Methodology,17-Feb-22,NA,Delivery of air cleaning units,,No
https://explore-education-statistics.service.gov.uk/methodology/laptops-and-tablets-data-methodology,Laptops and tablets data,Methodology,08-Mar-21,NA,Laptops and tablets data,,No
https://explore-education-statistics.service.gov.uk/methodology/vulnerable-children-and-young-people-survey,Vulnerable children and young people survey,Methodology,04-Jan-23,NA,Vulnerable children and young people survey,,No
https://explore-education-statistics.service.gov.uk/methodology/16-18-destination-measures-methodology,16-18 destination measures,Methodology,19-Oct-23,NA,16-18 destination measures,,No
https://explore-education-statistics.service.gov.uk/methodology/further-education-outcomes,Further education outcomes,Methodology,30-Nov-23,NA,Further education outcomes,,No
